arm,dominant_period_hours,pre_shift_peak_correlation,post_shift_peak_correlation,lag_shift_hours,modulation_std
scn,24.00925925925943,0.9820303482744287,0.948972370736732,0.16666666666666785,0.1804461990404299
random,2.0677830940988984,0.08520656185208027,0.04003172247848858,8.833333333333226,0.17915059658717197
heuristic,24.00925925925943,0.8845600123676005,0.8857563963020232,5.999999999999872,0.24999998140890392
