component,corpus_size,median_ms,ci_low_ms,ci_high_ms
state_vector,0,0.00554099096916616,0.005415990017354488,0.005964185402262957
scn_update,0,0.006125017534941435,0.005956938548479229,0.006501017196569592
retrieval_baseline,128,0.004792003892362118,0.004749977961182594,0.004999979864805937
retrieval_modulated,128,0.008958973921835423,0.008874980267137289,0.009249954018741846
retrieval_baseline,512,0.008790986612439156,0.008706958033144474,0.00954309361986816
retrieval_modulated,512,0.015291036106646061,0.014582998119294643,0.016335111286025494
retrieval_baseline,2048,0.07262500002980232,0.06757682713214308,0.11183333117514853
retrieval_modulated,2048,0.10527047561481595,0.07499791390728205,0.14464167325058952
