time_hours,phase,reduced_phase,target_phase,zeitgeber
0.0,3.1616406831992085,3.1616406831992085,0.0,0.08846865976517934
0.16666666666666666,3.028927958477929,3.194031985183545,0.04363323129985824,0.08138945183070634
0.3333333333333333,2.897597025702815,3.2261601004031335,0.08726646259971647,0.07469310791099375
0.5,2.7746398313389964,3.258052296038444,0.1308996938995747,0.06837762587560792
0.6666666666666666,2.6649138602399725,3.289736182460591,0.17453292519943295,0.06243914073454873
0.8333333333333333,2.57061876458473,3.3212395610388525,0.21816615649929116,0.05687200126975234
1.0,2.491792312200894,3.3525902842893656,0.2617993877991494,0.05166887298315787
1.1666666666666665,2.427242521598305,3.3838161291983146,0.3054326190990076,0.04719770543762793
1.3333333333333333,2.375192168377643,3.414958965051184,0.3490658503988659,0.043079906197712826
1.5,2.333722070915221,3.446046229878603,0.39269908169872414,0.03931256770656191
1.6666666666666665,2.3010783922640123,3.477105281252163,0.43633231299858233,0.03589189182570518
1.8333333333333333,2.275754035819585,3.5081633194426236,0.47996554429844057,0.032813461097526905
2.0,2.256494957964276,3.5392473243989415,0.5235987755982988,0.030072510324208535
2.1666666666666665,2.242274653762916,3.5703840055262503,0.567232006898157,0.02766419416748919
2.333333333333333,2.232259043383375,3.601599762952123,0.6108652381980152,0.025583846747629393
2.5,2.2257718279553296,3.632920658709654,0.6544984694978736,0.023827229525943603
2.6666666666666665,2.2222641451919807,3.664372396033188,0.6981317007977318,0.02239076408029566
2.833333333333333,2.221289441814285,3.6959803047578013,0.74176493209759,0.02127174671546033
3.0,2.2224823882249027,3.727769330637035,0.7853981633974483,0.020468542180354547
3.1666666666666665,2.2255921036553383,3.7597640262453473,0.8290313946973065,0.02081537543365266
3.333333333333333,2.2304076510972006,3.7920150916205637,0.8726646259971647,0.02148729526055799
3.5,2.2367153464434515,3.8245455021668424,0.916297857297023,0.02249548832531845
3.6666666666666665,2.244341110493716,3.857377963010403,0.9599310885968811,0.023852761122898483
